time(s);battery;obc;eps;communication;sdatf;slp;smdh
125;2,3602433;On;On;Receiver;Off;Off;Off
126;2,35974;On;On;Receiver;Off;Off;Off
127;2,3592367;On;On;Receiver;Off;Off;Off
128;2,3587334;On;On;Receiver;Off;Off;Off
129;2,35823;On;On;Receiver;Off;Off;Off
130;2,3577266;On;On;Receiver;Off;Off;Off
131;2,3572233;On;On;Receiver;Off;Off;Off
132;2,35672;On;On;Receiver;Off;Off;Off
133;2,3562167;On;On;Receiver;Off;Off;Off
134;2,3557134;On;On;Receiver;Off;Off;Off
135;2,35521;On;On;Receiver;Off;Off;Off
136;2,3547068;On;On;Receiver;Off;Off;Off
137;2,3542032;On;On;Receiver;Off;Off;Off
138;2,3537;On;On;Receiver;Off;Off;Off
139;2,3531966;On;On;Receiver;Off;Off;Off
140;2,3526933;On;On;Receiver;Off;Off;Off
141;2,35219;On;On;Receiver;Off;Off;Off
142;2,3516867;On;On;Receiver;Off;Off;Off
143;2,3511834;On;On;Receiver;Off;Off;Off
144;2,35068;On;On;Receiver;Off;Off;Off
145;2,3501766;On;On;Receiver;Off;Off;Off
146;2,3496733;On;On;Receiver;Off;Off;Off
147;2,34917;On;On;Receiver;Off;Off;Off
148;2,3486667;On;On;Receiver;Off;Off;Off
149;2,3481634;On;On;Receiver;Off;Off;Off
150;2,34766;On;On;Receiver;Off;Off;Off
151;2,3471568;On;On;Receiver;Off;Off;Off
152;2,3466532;On;On;Receiver;Off;Off;Off
153;2,34615;On;On;Receiver;Off;Off;Off
154;2,3456466;On;On;Receiver;Off;Off;Off
155;2,3451433;On;On;Receiver;Off;Off;Off
156;2,34464;On;On;Receiver;Off;Off;Off
157;2,3441367;On;On;Receiver;Off;Off;Off
158;2,3436334;On;On;Receiver;Off;Off;Off
159;2,34313;On;On;Receiver;Off;Off;Off
160;2,3426266;On;On;Receiver;Off;Off;Off
161;2,3421233;On;On;Receiver;Off;Off;Off
162;2,34162;On;On;Receiver;Off;Off;Off
163;2,3411167;On;On;Receiver;Off;Off;Off
164;2,3406134;On;On;Receiver;Off;Off;Off
165;2,34011;On;On;Receiver;Off;Off;Off
166;2,3396068;On;On;Receiver;Off;Off;Off
167;2,3391032;On;On;Receiver;Off;Off;Off
168;2,3386;On;On;Receiver;Off;Off;Off
169;2,3380966;On;On;Receiver;Off;Off;Off
170;2,3375933;On;On;Receiver;Off;Off;Off
171;2,33709;On;On;Receiver;Off;Off;Off
172;2,3365867;On;On;Receiver;Off;Off;Off
173;2,3360834;On;On;Receiver;Off;Off;Off
174;2,33558;On;On;Receiver;Off;Off;Off
175;2,3350766;On;On;Receiver;Off;Off;Off
176;2,3345733;On;On;Receiver;Off;Off;Off
177;2,33407;On;On;Receiver;Off;Off;Off
178;2,3335667;On;On;Receiver;Off;Off;Off
179;2,3330634;On;On;Receiver;Off;Off;Off
180;2,33256;On;On;Receiver;Off;Off;Off
181;2,3320568;On;On;Receiver;Off;Off;Off
182;2,3315532;On;On;Receiver;Off;Off;Off
183;2,33105;On;On;Receiver;Off;Off;Off
184;2,3305466;On;On;Receiver;Off;Off;Off
185;2,3300433;On;On;Receiver;Off;Off;Off
186;2,32954;On;On;Receiver;Off;Off;Off
187;2,3290367;On;On;Receiver;Off;Off;Off
188;2,3285334;On;On;Receiver;Off;Off;Off
189;2,32803;On;On;Receiver;Off;Off;Off
190;2,3275266;On;On;Receiver;Off;Off;Off
191;2,3270233;On;On;Receiver;Off;Off;Off
192;2,32652;On;On;Receiver;Off;Off;Off
193;2,3260167;On;On;Receiver;Off;Off;Off
194;2,3255134;On;On;Receiver;Off;Off;Off
195;2,32501;On;On;Receiver;Off;Off;Off
196;2,3245068;On;On;Receiver;Off;Off;Off
197;2,3240032;On;On;Receiver;Off;Off;Off
198;2,3235;On;On;Receiver;Off;Off;Off
199;2,3229966;On;On;Receiver;Off;Off;Off
200;2,3224933;On;On;Receiver;Off;Off;Off
201;2,32199;On;On;Receiver;Off;Off;Off
202;2,3214867;On;On;Receiver;Off;Off;Off
203;2,3209834;On;On;Receiver;Off;Off;Off
204;2,32048;On;On;Receiver;Off;Off;Off
205;2,3199766;On;On;Receiver;Off;Off;Off
206;2,3194733;On;On;Receiver;Off;Off;Off
207;2,31897;On;On;Receiver;Off;Off;Off
208;2,3184667;On;On;Receiver;Off;Off;Off
209;2,3179634;On;On;Receiver;Off;Off;Off
210;2,31746;On;On;Receiver;Off;Off;Off
211;2,3169568;On;On;Receiver;Off;Off;Off
212;2,3164532;On;On;Receiver;Off;Off;Off
213;2,31595;On;On;Receiver;Off;Off;Off
214;2,3154466;On;On;Receiver;Off;Off;Off
215;2,3149433;On;On;Receiver;Off;Off;Off
216;2,31444;On;On;Receiver;Off;Off;Off
217;2,3139367;On;On;Receiver;Off;Off;Off
218;2,3134334;On;On;Receiver;Off;Off;Off
219;2,31293;On;On;Receiver;Off;Off;Off
220;2,3124266;On;On;Receiver;Off;Off;Off
221;2,3119233;On;On;Receiver;Off;Off;Off
222;2,31142;On;On;Receiver;Off;Off;Off
223;2,3109167;On;On;Receiver;Off;Off;Off
224;2,3104134;On;On;Receiver;Off;Off;Off
225;2,30991;On;On;Receiver;Off;Off;Off
226;2,3094068;On;On;Receiver;Off;Off;Off
227;2,3089032;On;On;Receiver;Off;Off;Off
228;2,3084;On;On;Receiver;Off;Off;Off
229;2,3078966;On;On;Receiver;Off;Off;Off
230;2,3073933;On;On;Receiver;Off;Off;Off
231;2,30689;On;On;Receiver;Off;Off;Off
232;2,3063867;On;On;Receiver;Off;Off;Off
