time(s);battery;obc;eps;communication;sdatf;slp;smdh
6295;2,2473366;On;On;Receiver;Off;Off;Off
6296;2,2468333;On;On;Receiver;Off;Off;Off
6297;2,24633;On;On;Receiver;Off;Off;Off
6298;2,2458267;On;On;Receiver;Off;Off;Off
6299;2,2453234;On;On;Receiver;Off;Off;Off
6300;2,24482;On;On;Receiver;Off;Off;Off
6301;2,2443166;On;On;Receiver;Off;Off;Off
6302;2,2438133;On;On;Receiver;Off;Off;Off
6303;2,24331;On;On;Receiver;Off;Off;Off
6304;2,2428067;On;On;Receiver;Off;Off;Off
6305;2,2423034;On;On;Receiver;Off;Off;Off
6306;2,2418;On;On;Receiver;Off;Off;Off
6307;2,2412968;On;On;Receiver;Off;Off;Off
6308;2,2407932;On;On;Receiver;Off;Off;Off
6309;2,24029;On;On;Receiver;Off;Off;Off
6310;2,2397866;On;On;Receiver;Off;Off;Off
6311;2,2392833;On;On;Receiver;Off;Off;Off
6312;2,23878;On;On;Receiver;Off;Off;Off
6313;2,2382767;On;On;Receiver;Off;Off;Off
6314;2,2377734;On;On;Receiver;Off;Off;Off
6315;2,23727;On;On;Receiver;Off;Off;Off
6316;2,2367666;On;On;Receiver;Off;Off;Off
6317;2,2362633;On;On;Receiver;Off;Off;Off
6318;2,23576;On;On;Receiver;Off;Off;Off
6319;2,2352567;On;On;Receiver;Off;Off;Off
6320;2,2347534;On;On;Receiver;Off;Off;Off
6321;2,23425;On;On;Receiver;Off;Off;Off
6322;2,2337468;On;On;Receiver;Off;Off;Off
6323;2,2332432;On;On;Receiver;Off;Off;Off
6324;2,23274;On;On;Receiver;Off;Off;Off
6325;2,2322366;On;On;Receiver;Off;Off;Off
6326;2,2317333;On;On;Receiver;Off;Off;Off
6327;2,23123;On;On;Receiver;Off;Off;Off
6328;2,2307267;On;On;Receiver;Off;Off;Off
6329;2,2302234;On;On;Receiver;Off;Off;Off
6330;2,22972;On;On;Receiver;Off;Off;Off
6331;2,2292166;On;On;Receiver;Off;Off;Off
6332;2,2287133;On;On;Receiver;Off;Off;Off
6333;2,22821;On;On;Receiver;Off;Off;Off
6334;2,2277067;On;On;Receiver;Off;Off;Off
6335;2,2272034;On;On;Receiver;Off;Off;Off
6336;2,2267;On;On;Receiver;Off;Off;Off
6337;2,2261968;On;On;Receiver;Off;Off;Off
6338;2,2256932;On;On;Receiver;Off;Off;Off
6339;2,22519;On;On;Receiver;Off;Off;Off
6340;2,2246866;On;On;Receiver;Off;Off;Off
6341;2,2241833;On;On;Receiver;Off;Off;Off
6342;2,22368;On;On;Receiver;Off;Off;Off
6343;2,2231767;On;On;Receiver;Off;Off;Off
6344;2,2226734;On;On;Receiver;Off;Off;Off
6345;2,22217;On;On;Receiver;Off;Off;Off
6346;2,2216666;On;On;Receiver;Off;Off;Off
6347;2,2211633;On;On;Receiver;Off;Off;Off
6348;2,22066;On;On;Receiver;Off;Off;Off
6349;2,2201567;On;On;Receiver;Off;Off;Off
6350;2,2196534;On;On;Receiver;Off;Off;Off
6351;2,21915;On;On;Receiver;Off;Off;Off
6352;2,2186468;On;On;Receiver;Off;Off;Off
6353;2,2181432;On;On;Receiver;Off;Off;Off
6354;2,21764;On;On;Receiver;Off;Off;Off
6355;2,2171366;On;On;Receiver;Off;Off;Off
6356;2,2166333;On;On;Receiver;Off;Off;Off
6357;2,21613;On;On;Receiver;Off;Off;Off
6358;2,2156267;On;On;Receiver;Off;Off;Off
6359;2,2151234;On;On;Receiver;Off;Off;Off
6360;2,21462;On;On;Receiver;Off;Off;Off
6361;2,2141166;On;On;Receiver;Off;Off;Off
6362;2,2136133;On;On;Receiver;Off;Off;Off
6363;2,21311;On;On;Receiver;Off;Off;Off
6364;2,2126067;On;On;Receiver;Off;Off;Off
6365;2,2121034;On;On;Receiver;Off;Off;Off
6366;2,2116;On;On;Receiver;Off;Off;Off
6367;2,2110968;On;On;Receiver;Off;Off;Off
6368;2,2105932;On;On;Receiver;Off;Off;Off
6369;2,21009;On;On;Receiver;Off;Off;Off
6370;2,2095866;On;On;Receiver;Off;Off;Off
6371;2,2090833;On;On;Receiver;Off;Off;Off
6372;2,20858;On;On;Receiver;Off;Off;Off
6373;2,2080767;On;On;Receiver;Off;Off;Off
6374;2,2075734;On;On;Receiver;Off;Off;Off
6375;2,20707;On;On;Receiver;Off;Off;Off
6376;2,2065666;On;On;Receiver;Off;Off;Off
6377;2,2060633;On;On;Receiver;Off;Off;Off
6378;2,20556;On;On;Receiver;Off;Off;Off
6379;2,2050567;On;On;Receiver;Off;Off;Off
6380;2,2045534;On;On;Receiver;Off;Off;Off
6381;2,20405;On;On;Receiver;Off;Off;Off
6382;2,2035468;On;On;Receiver;Off;Off;Off
6383;2,2030432;On;On;Receiver;Off;Off;Off
6384;2,20254;On;On;Receiver;Off;Off;Off
6385;2,2020366;On;On;Receiver;Off;Off;Off
6386;2,2015333;On;On;Receiver;Off;Off;Off
6387;2,20103;On;On;Receiver;Off;Off;Off
6388;2,2005267;On;On;Receiver;Off;Off;Off
6389;2,2000234;On;On;Receiver;Off;Off;Off
6390;2,19952;On;On;Receiver;Off;Off;Off
6391;2,1990166;On;On;Receiver;Off;Off;Off
6392;2,1985133;On;On;Receiver;Off;Off;Off
6393;2,19801;On;On;Receiver;Off;Off;Off
6394;2,1975067;On;On;Receiver;Off;Off;Off
6395;2,1970034;On;On;Receiver;Off;Off;Off
6396;2,1965;On;On;Receiver;Off;Off;Off
6397;2,1959968;On;On;Receiver;Off;Off;Off
6398;2,1954932;On;On;Receiver;Off;Off;Off
6399;2,19499;On;On;Receiver;Off;Off;Off
6400;2,1944866;On;On;Receiver;Off;Off;Off
6401;2,1939833;On;On;Receiver;Off;Off;Off
6402;2,19348;On;On;Receiver;Off;Off;Off
6403;2,1929767;On;On;Receiver;Off;Off;Off
6404;2,1924734;On;On;Receiver;Off;Off;Off
6405;2,19197;On;On;Receiver;Off;Off;Off
6406;2,1914666;On;On;Receiver;Off;Off;Off
6407;2,1909633;On;On;Receiver;Off;Off;Off
6408;2,19046;On;On;Receiver;Off;Off;Off
6409;2,1899567;On;On;Receiver;Off;Off;Off
6410;2,1894534;On;On;Receiver;Off;Off;Off
6411;2,18895;On;On;Receiver;Off;Off;Off
6412;2,1884468;On;On;Receiver;Off;Off;Off
6413;2,1879432;On;On;Receiver;Off;Off;Off
6414;2,18744;On;On;Receiver;Off;Off;Off
6415;2,1869366;On;On;Receiver;Off;Off;Off
6416;2,1864333;On;On;Receiver;Off;Off;Off
6417;2,18593;On;On;Receiver;Off;Off;Off
6418;2,1854267;On;On;Receiver;Off;Off;Off
6419;2,1849234;On;On;Receiver;Off;Off;Off
6420;2,18442;On;On;Receiver;Off;Off;Off
6421;2,1839166;On;On;Receiver;Off;Off;Off
6422;2,1834133;On;On;Receiver;Off;Off;Off
6423;2,18291;On;On;Receiver;Off;Off;Off
6424;2,1824067;On;On;Receiver;Off;Off;Off
6425;2,1819034;On;On;Receiver;Off;Off;Off
6426;2,1814;On;On;Receiver;Off;Off;Off
6427;2,1808968;On;On;Receiver;Off;Off;Off
6428;2,1803932;On;On;Receiver;Off;Off;Off
6429;2,17989;On;On;Receiver;Off;Off;Off
6430;2,1793866;On;On;Receiver;Off;Off;Off
6431;2,1788833;On;On;Receiver;Off;Off;Off
6432;2,17838;On;On;Receiver;Off;Off;Off
6433;2,1778767;On;On;Receiver;Off;Off;Off
6434;2,1773734;On;On;Receiver;Off;Off;Off
6435;2,17687;On;On;Receiver;Off;Off;Off
6436;2,1763666;On;On;Receiver;Off;Off;Off
6437;2,1758633;On;On;Receiver;Off;Off;Off
6438;2,17536;On;On;Receiver;Off;Off;Off
6439;2,1748567;On;On;Receiver;Off;Off;Off
6440;2,1743534;On;On;Receiver;Off;Off;Off
6441;2,17385;On;On;Receiver;Off;Off;Off
6442;2,1733468;On;On;Receiver;Off;Off;Off
6443;2,1728432;On;On;Receiver;Off;Off;Off
6444;2,17234;On;On;Receiver;Off;Off;Off
6445;2,1718366;On;On;Receiver;Off;Off;Off
6446;2,1713333;On;On;Receiver;Off;Off;Off
6447;2,17083;On;On;Receiver;Off;Off;Off
6448;2,1703267;On;On;Receiver;Off;Off;Off
6449;2,1698234;On;On;Receiver;Off;Off;Off
6450;2,16932;On;On;Receiver;Off;Off;Off
6451;2,1688166;On;On;Receiver;Off;Off;Off
6452;2,1683133;On;On;Receiver;Off;Off;Off
6453;2,16781;On;On;Receiver;Off;Off;Off
6454;2,1673067;On;On;Receiver;Off;Off;Off
6455;2,1668034;On;On;Receiver;Off;Off;Off
6456;2,1663;On;On;Receiver;Off;Off;Off
6457;2,1657968;On;On;Receiver;Off;Off;Off
6458;2,1652932;On;On;Receiver;Off;Off;Off
6459;2,16479;On;On;Receiver;Off;Off;Off
6460;2,1642866;On;On;Receiver;Off;Off;Off
6461;2,1637833;On;On;Receiver;Off;Off;Off
6462;2,16328;On;On;Receiver;Off;Off;Off
6463;2,1627767;On;On;Receiver;Off;Off;Off
6464;2,1622734;On;On;Receiver;Off;Off;Off
6465;2,16177;On;On;Receiver;Off;Off;Off
6466;2,1612666;On;On;Receiver;Off;Off;Off
6467;2,1607633;On;On;Receiver;Off;Off;Off
6468;2,16026;On;On;Receiver;Off;Off;Off
6469;2,1597567;On;On;Receiver;Off;Off;Off
6470;2,1592534;On;On;Receiver;Off;Off;Off
6471;2,15875;On;On;Receiver;Off;Off;Off
6472;2,1582468;On;On;Receiver;Off;Off;Off
6473;2,1577432;On;On;Receiver;Off;Off;Off
6474;2,15724;On;On;Receiver;Off;Off;Off
6475;2,1567366;On;On;Receiver;Off;Off;Off
6476;2,1562333;On;On;Receiver;Off;Off;Off
6477;2,15573;On;On;Receiver;Off;Off;Off
6478;2,1552267;On;On;Receiver;Off;Off;Off
6479;2,1547234;On;On;Receiver;Off;Off;Off
6480;2,15422;On;On;Receiver;Off;Off;Off
6481;2,1537166;On;On;Receiver;Off;Off;Off
6482;2,1532133;On;On;Receiver;Off;Off;Off
6483;2,15271;On;On;Receiver;Off;Off;Off
6484;2,1522067;On;On;Receiver;Off;Off;Off
6485;2,1517034;On;On;Receiver;Off;Off;Off
6486;2,1512;On;On;Receiver;Off;Off;Off
6487;2,1506968;On;On;Receiver;Off;Off;Off
6488;2,1501932;On;On;Receiver;Off;Off;Off
6489;2,14969;On;On;Receiver;Off;Off;Off
6490;2,1491866;On;On;Receiver;Off;Off;Off
6491;2,1486833;On;On;Receiver;Off;Off;Off
6492;2,14818;On;On;Receiver;Off;Off;Off
6493;2,1476767;On;On;Receiver;Off;Off;Off
6494;2,1471734;On;On;Receiver;Off;Off;Off
6495;2,14667;On;On;Receiver;Off;Off;Off
6496;2,1461666;On;On;Receiver;Off;Off;Off
6497;2,1456633;On;On;Receiver;Off;Off;Off
6498;2,14516;On;On;Receiver;Off;Off;Off
6499;2,1446567;On;On;Receiver;Off;Off;Off
6500;2,1441534;On;On;Receiver;Off;Off;Off
6501;2,14365;On;On;Receiver;Off;Off;Off
6502;2,1431468;On;On;Receiver;Off;Off;Off
6503;2,1426435;On;On;Receiver;Off;Off;Off
6504;2,14214;On;On;Receiver;Off;Off;Off
6505;2,1416366;On;On;Receiver;Off;Off;Off
6506;2,1411333;On;On;Receiver;Off;Off;Off
6507;2,14063;On;On;Receiver;Off;Off;Off
6508;2,1401267;On;On;Receiver;Off;Off;Off
6509;2,1396234;On;On;Receiver;Off;Off;Off
6510;2,13912;On;On;Receiver;Off;Off;Off
6511;2,1386166;On;On;Receiver;Off;Off;Off
6512;2,1381133;On;On;Receiver;Off;Off;Off
6513;2,13761;On;On;Receiver;Off;Off;Off
6514;2,1371067;On;On;Receiver;Off;Off;Off
6515;2,1366034;On;On;Receiver;Off;Off;Off
6516;2,1361;On;On;Receiver;Off;Off;Off
6517;2,1355968;On;On;Receiver;Off;Off;Off
6518;2,1350935;On;On;Receiver;Off;Off;Off
6519;2,13459;On;On;Receiver;Off;Off;Off
6520;2,1340866;On;On;Receiver;Off;Off;Off
6521;2,1335833;On;On;Receiver;Off;Off;Off
6522;2,13308;On;On;Receiver;Off;Off;Off
6523;2,1325767;On;On;Receiver;Off;Off;Off
6524;2,1320734;On;On;Receiver;Off;Off;Off
6525;2,13157;On;On;Receiver;Off;Off;Off
6526;2,1310666;On;On;Receiver;Off;Off;Off
6527;2,1305633;On;On;Receiver;Off;Off;Off
6528;2,13006;On;On;Receiver;Off;Off;Off
6529;2,1295567;On;On;Receiver;Off;Off;Off
6530;2,1290534;On;On;Receiver;Off;Off;Off
6531;2,12855;On;On;Receiver;Off;Off;Off
6532;2,1280468;On;On;Receiver;Off;Off;Off
6533;2,1275434;On;On;Receiver;Off;Off;Off
6534;2,12704;On;On;Receiver;Off;Off;Off
6535;2,1265366;On;On;Receiver;Off;Off;Off
6536;2,1260333;On;On;Receiver;Off;Off;Off
6537;2,12553;On;On;Receiver;Off;Off;Off
6538;2,1250267;On;On;Receiver;Off;Off;Off
6539;2,1245234;On;On;Receiver;Off;Off;Off
6540;2,12402;On;On;Receiver;Off;Off;Off
6541;2,1235166;On;On;Receiver;Off;Off;Off
6542;2,1230133;On;On;Receiver;Off;Off;Off
6543;2,12251;On;On;Receiver;Off;Off;Off
6544;2,1220067;On;On;Receiver;Off;Off;Off
6545;2,1215034;On;On;Receiver;Off;Off;Off
6546;2,121;On;On;Receiver;Off;Off;Off
6547;2,1204967;On;On;Receiver;Off;Off;Off
6548;2,1199934;On;On;Receiver;Off;Off;Off
6549;2,11949;On;On;Receiver;Off;Off;Off
6550;2,1189866;On;On;Receiver;Off;Off;Off
6551;2,1184833;On;On;Receiver;Off;Off;Off
6552;2,11798;On;On;Receiver;Off;Off;Off
6553;2,1174767;On;On;Receiver;Off;Off;Off
6554;2,1169734;On;On;Receiver;Off;Off;Off
6555;2,11647;On;On;Receiver;Off;Off;Off
6556;2,1159666;On;On;Receiver;Off;Off;Off
6557;2,1154633;On;On;Receiver;Off;Off;Off
6558;2,11496;On;On;Receiver;Off;Off;Off
6559;2,1144567;On;On;Receiver;Off;Off;Off
6560;2,1139534;On;On;Receiver;Off;Off;Off
6561;2,11345;On;On;Receiver;Off;Off;Off
6562;2,1129467;On;On;Receiver;Off;Off;Off
6563;2,1124434;On;On;Receiver;Off;Off;Off
6564;2,11194;On;On;Receiver;Off;Off;Off
6565;2,1114366;On;On;Receiver;Off;Off;Off
6566;2,1109333;On;On;Receiver;Off;Off;Off
6567;2,11043;On;On;Receiver;Off;Off;Off
6568;2,1099267;On;On;Receiver;Off;Off;Off
6569;2,1094234;On;On;Receiver;Off;Off;Off
6570;2,10892;On;On;Receiver;Off;Off;Off
6571;2,1084166;On;On;Receiver;Off;Off;Off
6572;2,1079133;On;On;Receiver;Off;Off;Off
6573;2,10741;On;On;Receiver;Off;Off;Off
6574;2,1069067;On;On;Receiver;Off;Off;Off
6575;2,1064034;On;On;Receiver;Off;Off;Off
6576;2,1059;On;On;Receiver;Off;Off;Off
6577;2,1053967;On;On;Receiver;Off;Off;Off
6578;2,1048934;On;On;Receiver;Off;Off;Off
6579;2,10439;On;On;Receiver;Off;Off;Off
6580;2,1038866;On;On;Receiver;Off;Off;Off
6581;2,1033833;On;On;Receiver;Off;Off;Off
6582;2,10288;On;On;Receiver;Off;Off;Off
6583;2,1023767;On;On;Receiver;Off;Off;Off
6584;2,1018734;On;On;Receiver;Off;Off;Off
6585;2,10137;On;On;Receiver;Off;Off;Off
6586;2,1008666;On;On;Receiver;Off;Off;Off
6587;2,1003633;On;On;Receiver;Off;Off;Off
6588;2,09986;On;On;Receiver;Off;Off;Off
6589;2,0993567;On;On;Receiver;Off;Off;Off
6590;2,0988533;On;On;Receiver;Off;Off;Off
6591;2,09835;On;On;Receiver;Off;Off;Off
6592;2,0978467;On;On;Receiver;Off;Off;Off
6593;2,0973434;On;On;Receiver;Off;Off;Off
6594;2,09684;On;On;Receiver;Off;Off;Off
6595;2,0963366;On;On;Receiver;Off;Off;Off
6596;2,0958333;On;On;Receiver;Off;Off;Off
6597;2,09533;On;On;Receiver;Off;Off;Off
6598;2,0948267;On;On;Receiver;Off;Off;Off
6599;2,0943234;On;On;Receiver;Off;Off;Off
6600;2,09382;On;On;Receiver;Off;Off;Off
6601;2,0933166;On;On;Receiver;Off;Off;Off
6602;2,0928133;On;On;Receiver;Off;Off;Off
6603;2,09231;On;On;Receiver;Off;Off;Off
6604;2,0918067;On;On;Receiver;Off;Off;Off
6605;2,0913033;On;On;Receiver;Off;Off;Off
6606;2,0908;On;On;Receiver;Off;Off;Off
6607;2,0902967;On;On;Receiver;Off;Off;Off
6608;2,0897934;On;On;Receiver;Off;Off;Off
6609;2,08929;On;On;Receiver;Off;Off;Off
6610;2,0887866;On;On;Receiver;Off;Off;Off
6611;2,0882833;On;On;Receiver;Off;Off;Off
6612;2,08778;On;On;Receiver;Off;Off;Off
6613;2,0872767;On;On;Receiver;Off;Off;Off
6614;2,0867734;On;On;Receiver;Off;Off;Off
6615;2,08627;On;On;Receiver;Off;Off;Off
6616;2,0857666;On;On;Receiver;Off;Off;Off
6617;2,0852633;On;On;Receiver;Off;Off;Off
6618;2,08476;On;On;Receiver;Off;Off;Off
6619;2,0842566;On;On;Receiver;Off;Off;Off
6620;2,0837533;On;On;Receiver;Off;Off;Off
6621;2,08325;On;On;Receiver;Off;Off;Off
6622;2,0827467;On;On;Receiver;Off;Off;Off
6623;2,0822434;On;On;Receiver;Off;Off;Off
6624;2,08174;On;On;Receiver;Off;Off;Off
6625;2,0812366;On;On;Receiver;Off;Off;Off
6626;2,0807333;On;On;Receiver;Off;Off;Off
6627;2,08023;On;On;Receiver;Off;Off;Off
6628;2,0797267;On;On;Receiver;Off;Off;Off
6629;2,0792234;On;On;Receiver;Off;Off;Off
6630;2,07872;On;On;Receiver;Off;Off;Off
6631;2,0782166;On;On;Receiver;Off;Off;Off
6632;2,0777133;On;On;Receiver;Off;Off;Off
6633;2,07721;On;On;Receiver;Off;Off;Off
6634;2,0767066;On;On;Receiver;Off;Off;Off
6635;2,0762033;On;On;Receiver;Off;Off;Off
6636;2,0757;On;On;Receiver;Off;Off;Off
6637;2,0751967;On;On;Receiver;Off;Off;Off
6638;2,0746934;On;On;Receiver;Off;Off;Off
6639;2,07419;On;On;Receiver;Off;Off;Off
6640;2,0736866;On;On;Receiver;Off;Off;Off
6641;2,0731833;On;On;Receiver;Off;Off;Off
6642;2,07268;On;On;Receiver;Off;Off;Off
6643;2,0721767;On;On;Receiver;Off;Off;Off
6644;2,0716734;On;On;Receiver;Off;Off;Off
6645;2,07117;On;On;Receiver;Off;Off;Off
6646;2,0706666;On;On;Receiver;Off;Off;Off
6647;2,0701632;On;On;Receiver;Off;Off;Off
6648;2,06966;On;On;Receiver;Off;Off;Off
6649;2,0691566;On;On;Receiver;Off;Off;Off
6650;2,0686533;On;On;Receiver;Off;Off;Off
6651;2,06815;On;On;Receiver;Off;Off;Off
6652;2,0676467;On;On;Receiver;Off;Off;Off
6653;2,0671434;On;On;Receiver;Off;Off;Off
6654;2,06664;On;On;Receiver;Off;Off;Off
6655;2,0661366;On;On;Receiver;Off;Off;Off
6656;2,0656333;On;On;Receiver;Off;Off;Off
6657;2,06513;On;On;Receiver;Off;Off;Off
6658;2,0646267;On;On;Receiver;Off;Off;Off
6659;2,0641234;On;On;Receiver;Off;Off;Off
6660;2,06362;On;On;Receiver;Off;Off;Off
6661;2,0631166;On;On;Receiver;Off;Off;Off
6662;2,0626132;On;On;Receiver;Off;Off;Off
6663;2,06211;On;On;Receiver;Off;Off;Off
6664;2,0616066;On;On;Receiver;Off;Off;Off
6665;2,0611033;On;On;Receiver;Off;Off;Off
6666;2,0606;On;On;Receiver;Off;Off;Off
6667;2,0600967;On;On;Receiver;Off;Off;Off
6668;2,0595934;On;On;Receiver;Off;Off;Off
6669;2,05909;On;On;Receiver;Off;Off;Off
6670;2,0585866;On;On;Receiver;Off;Off;Off
6671;2,0580833;On;On;Receiver;Off;Off;Off
6672;2,05758;On;On;Receiver;Off;Off;Off
6673;2,0570767;On;On;Receiver;Off;Off;Off
6674;2,0565734;On;On;Receiver;Off;Off;Off
6675;2,05607;On;On;Receiver;Off;Off;Off
6676;2,0555665;On;On;Receiver;Off;Off;Off
6677;2,0550632;On;On;Receiver;Off;Off;Off
6678;2,05456;On;On;Receiver;Off;Off;Off
6679;2,0540566;On;On;Receiver;Off;Off;Off
6680;2,0535533;On;On;Receiver;Off;Off;Off
6681;2,05305;On;On;Receiver;Off;Off;Off
6682;2,0525467;On;On;Receiver;Off;Off;Off
6683;2,0520434;On;On;Receiver;Off;Off;Off
6684;2,05154;On;On;Receiver;Off;Off;Off
6685;2,0510366;On;On;Receiver;Off;Off;Off
6686;2,0505333;On;On;Receiver;Off;Off;Off
6687;2,05003;On;On;Receiver;Off;Off;Off
6688;2,0495267;On;On;Receiver;Off;Off;Off
6689;2,0490234;On;On;Receiver;Off;Off;Off
6690;2,04852;On;On;Receiver;Off;Off;Off
6691;2,0480165;On;On;Receiver;Off;Off;Off
6692;2,0475132;On;On;Receiver;Off;Off;Off
6693;2,04701;On;On;Receiver;Off;Off;Off
6694;2,0465066;On;On;Receiver;Off;Off;Off
6695;2,0460033;On;On;Receiver;Off;Off;Off
6696;2,0455;On;On;Receiver;Off;Off;Off
6697;2,0449967;On;On;Receiver;Off;Off;Off
6698;2,0444934;On;On;Receiver;Off;Off;Off
6699;2,04399;On;On;Receiver;Off;Off;Off
6700;2,0434866;On;On;Receiver;Off;Off;Off
6701;2,0429833;On;On;Receiver;Off;Off;Off
6702;2,04248;On;On;Receiver;Off;Off;Off
6703;2,0419767;On;On;Receiver;Off;Off;Off
6704;2,0414734;On;On;Receiver;Off;Off;Off
6705;2,04097;On;On;Receiver;Off;Off;Off
6706;2,0404668;On;On;Receiver;Off;Off;Off
6707;2,0399632;On;On;Receiver;Off;Off;Off
6708;2,03946;On;On;Receiver;Off;Off;Off
6709;2,0389566;On;On;Receiver;Off;Off;Off
6710;2,0384533;On;On;Receiver;Off;Off;Off
6711;2,03795;On;On;Receiver;Off;Off;Off
6712;2,0374467;On;On;Receiver;Off;Off;Off
6713;2,0369434;On;On;Receiver;Off;Off;Off
6714;2,03644;On;On;Receiver;Off;Off;Off
6715;2,0359366;On;On;Receiver;Off;Off;Off
6716;2,0354333;On;On;Receiver;Off;Off;Off
6717;2,03493;On;On;Receiver;Off;Off;Off
6718;2,0344267;On;On;Receiver;Off;Off;Off
6719;2,0339234;On;On;Receiver;Off;Off;Off
6720;2,03342;On;On;Receiver;Off;Off;Off
6721;2,0329168;On;On;Receiver;Off;Off;Off
6722;2,0324132;On;On;Receiver;Off;Off;Off
6723;2,03191;On;On;Receiver;Off;Off;Off
6724;2,0314066;On;On;Receiver;Off;Off;Off
6725;2,0309033;On;On;Receiver;Off;Off;Off
6726;2,0304;On;On;Receiver;Off;Off;Off
6727;2,0298967;On;On;Receiver;Off;Off;Off
6728;2,0293934;On;On;Receiver;Off;Off;Off
6729;2,02889;On;On;Receiver;Off;Off;Off
6730;2,0283866;On;On;Receiver;Off;Off;Off
6731;2,0278833;On;On;Receiver;Off;Off;Off
6732;2,02738;On;On;Receiver;Off;Off;Off
6733;2,0268767;On;On;Receiver;Off;Off;Off
6734;2,0263734;On;On;Receiver;Off;Off;Off
6735;2,02587;On;On;Receiver;Off;Off;Off
6736;2,0253668;On;On;Receiver;Off;Off;Off
6737;2,0248632;On;On;Receiver;Off;Off;Off
6738;2,02436;On;On;Receiver;Off;Off;Off
6739;2,0238566;On;On;Receiver;Off;Off;Off
6740;2,0233533;On;On;Receiver;Off;Off;Off
6741;2,02285;On;On;Receiver;Off;Off;Off
6742;2,0223467;On;On;Receiver;Off;Off;Off
6743;2,0218434;On;On;Receiver;Off;Off;Off
6744;2,02134;On;On;Receiver;Off;Off;Off
6745;2,0208366;On;On;Receiver;Off;Off;Off
6746;2,0203333;On;On;Receiver;Off;Off;Off
6747;2,01983;On;On;Receiver;Off;Off;Off
6748;2,0193267;On;On;Receiver;Off;Off;Off
6749;2,0188234;On;On;Receiver;Off;Off;Off
6750;2,01832;On;On;Receiver;Off;Off;Off
6751;2,0178168;On;On;Receiver;Off;Off;Off
6752;2,0173132;On;On;Receiver;Off;Off;Off
6753;2,01681;On;On;Receiver;Off;Off;Off
6754;2,0163066;On;On;Receiver;Off;Off;Off
6755;2,0158033;On;On;Receiver;Off;Off;Off
6756;2,0153;On;On;Receiver;Off;Off;Off
6757;2,0147967;On;On;Receiver;Off;Off;Off
6758;2,0142934;On;On;Receiver;Off;Off;Off
6759;2,01379;On;On;Receiver;Off;Off;Off
6760;2,0132866;On;On;Receiver;Off;Off;Off
6761;2,0127833;On;On;Receiver;Off;Off;Off
6762;2,01228;On;On;Receiver;Off;Off;Off
6763;2,0117767;On;On;Receiver;Off;Off;Off
6764;2,0112734;On;On;Receiver;Off;Off;Off
6765;2,01077;On;On;Receiver;Off;Off;Off
6766;2,0102668;On;On;Receiver;Off;Off;Off
6767;2,0097632;On;On;Receiver;Off;Off;Off
6768;2,00926;On;On;Receiver;Off;Off;Off
6769;2,0087566;On;On;Receiver;Off;Off;Off
6770;2,0082533;On;On;Receiver;Off;Off;Off
6771;2,00775;On;On;Receiver;Off;Off;Off
6772;2,0072467;On;On;Receiver;Off;Off;Off
6773;2,0067434;On;On;Receiver;Off;Off;Off
6774;2,00624;On;On;Receiver;Off;Off;Off
6775;2,0057366;On;On;Receiver;Off;Off;Off
6776;2,0052333;On;On;Receiver;Off;Off;Off
6777;2,00473;On;On;Receiver;Off;Off;Off
6778;2,0042267;On;On;Receiver;Off;Off;Off
6779;2,0037234;On;On;Receiver;Off;Off;Off
6780;2,00322;On;On;Receiver;Off;Off;Off
6781;2,0027168;On;On;Receiver;Off;Off;Off
6782;2,0022132;On;On;Receiver;Off;Off;Off
6783;2,00171;On;On;Receiver;Off;Off;Off
6784;2,0012066;On;On;Receiver;Off;Off;Off
6785;2,0007033;On;On;Receiver;Off;Off;Off
6786;2,0002;On;On;Receiver;Off;Off;Off
6787;1,9996966;On;On;Receiver;Off;Off;Off
6788;1,9991933;On;On;Receiver;Off;Off;Off
6789;1,99869;On;On;Receiver;Off;Off;Off
6790;1,9981867;On;On;Receiver;Off;Off;Off
6791;1,9976833;On;On;Receiver;Off;Off;Off
6792;1,99718;On;On;Receiver;Off;Off;Off
6793;1,9966767;On;On;Receiver;Off;Off;Off
6794;1,9961734;On;On;Receiver;Off;Off;Off
6795;1,99567;On;On;Receiver;Off;Off;Off
6796;1,9951667;On;On;Receiver;Off;Off;Off
6797;1,9946634;On;On;Receiver;Off;Off;Off
6798;1,99416;On;On;Receiver;Off;Off;Off
6799;1,9936566;On;On;Receiver;Off;Off;Off
6800;1,9931533;On;On;Receiver;Off;Off;Off
6801;1,99265;On;On;Receiver;Off;Off;Off
6802;1,9921466;On;On;Receiver;Off;Off;Off
6803;1,9916433;On;On;Receiver;Off;Off;Off
6804;1,99114;On;On;Receiver;Off;Off;Off
6805;1,9906367;On;On;Receiver;Off;Off;Off
6806;1,9901333;On;On;Receiver;Off;Off;Off
6807;1,98963;On;On;Receiver;Off;Off;Off
6808;1,9891267;On;On;Receiver;Off;Off;Off
6809;1,9886234;On;On;Receiver;Off;Off;Off
6810;1,98812;On;On;Receiver;Off;Off;Off
6811;1,9876167;On;On;Receiver;Off;Off;Off
6812;1,9871134;On;On;Receiver;Off;Off;Off
6813;1,98661;On;On;Receiver;Off;Off;Off
6814;1,9861066;On;On;Receiver;Off;Off;Off
6815;1,9856033;On;On;Receiver;Off;Off;Off
6816;1,9851;On;On;Receiver;Off;Off;Off
6817;1,9845966;On;On;Receiver;Off;Off;Off
