time(s);battery;orbit;obc;eps;communication;sdatf;slp;smdh;total_drop
2108;18,825344;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2109;18,825722;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2110;18,8261;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2111;18,826477;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2112;18,826853;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2113;18,82723;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2114;18,827608;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2115;18,827986;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2116;18,828362;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2117;18,82874;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2118;18,829117;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2119;18,829494;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2120;18,82987;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2121;18,830248;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2122;18,830626;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2123;18,831003;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2124;18,83138;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2125;18,831757;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2126;18,832134;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2127;18,832512;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2128;18,83289;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2129;18,833265;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2130;18,833643;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2131;18,83402;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2132;18,834398;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2133;18,834776;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2134;18,835152;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2135;18,83553;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2136;18,835907;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2137;18,836285;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2138;18,83666;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2139;18,837038;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2140;18,837416;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2141;18,837793;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2142;18,83817;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2143;18,838547;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2144;18,838924;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2145;18,839302;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2146;18,83968;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2147;18,840055;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2148;18,840433;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2149;18,84081;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2150;18,841188;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2151;18,841564;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2152;18,841942;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2153;18,84232;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2154;18,842697;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2155;18,843075;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2156;18,84345;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2157;18,843828;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2158;18,844206;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2159;18,844584;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2160;18,84496;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2161;18,845337;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2162;18,845715;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2163;18,846092;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2164;18,846468;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2165;18,846846;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2166;18,847223;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2167;18,8476;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2168;18,847979;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2169;18,848354;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2170;18,848732;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2171;18,84911;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2172;18,849487;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2173;18,849863;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2174;18,85024;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2175;18,850618;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2176;18,850996;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2177;18,851374;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2178;18,85175;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2179;18,852127;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2180;18,852505;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2181;18,852882;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2182;18,853258;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2183;18,853636;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2184;18,854013;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2185;18,854391;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2186;18,854767;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2187;18,855145;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2188;18,855522;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2189;18,8559;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2190;18,856277;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2191;18,856653;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2192;18,85703;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2193;18,857409;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2194;18,857786;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2195;18,858162;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2196;18,85854;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2197;18,858917;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2198;18,859295;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2199;18,859673;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2200;18,860048;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2201;18,860426;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2202;18,860804;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2203;18,861181;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2204;18,861557;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2205;18,861935;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2206;18,862312;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2207;18,86269;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2208;18,863066;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2209;18,863443;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2210;18,863821;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2211;18,864199;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2212;18,864576;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2213;18,864952;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2214;18,86533;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2215;18,865707;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2216;18,866085;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2217;18,86646;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2218;18,866838;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2219;18,867216;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2220;18,867594;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2221;18,867971;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2222;18,868347;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2223;18,868725;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2224;18,869102;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2225;18,86948;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2226;18,869856;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2227;18,870234;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2228;18,870611;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2229;18,870989;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2230;18,871367;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2231;18,871742;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2232;18,87212;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2233;18,872498;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2234;18,872875;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2235;18,873251;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2236;18,873629;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2237;18,874006;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2238;18,874384;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2239;18,87476;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2240;18,875137;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2241;18,875515;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2242;18,875893;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2243;18,87627;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2244;18,876646;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2245;18,877024;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2246;18,877401;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2247;18,877779;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2248;18,878155;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2249;18,878532;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2250;18,87891;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2251;18,879288;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2252;18,879665;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2253;18,880041;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2254;18,880419;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2255;18,880796;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2256;18,881174;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2257;18,88155;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2258;18,881927;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2259;18,882305;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2260;18,882683;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2261;18,883059;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2262;18,883436;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2263;18,883814;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2264;18,884192;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2265;18,88457;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2266;18,884945;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2267;18,885323;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2268;18,8857;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2269;18,886078;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2270;18,886454;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2271;18,886831;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2272;18,887209;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2273;18,887587;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2274;18,887964;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2275;18,88834;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2276;18,888718;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2277;18,889095;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2278;18,889473;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2279;18,889849;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2280;18,890226;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2281;18,890604;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2282;18,890982;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2283;18,891357;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2284;18,891735;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2285;18,892113;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2286;18,89249;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2287;18,892868;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2288;18,893244;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2289;18,893621;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2290;18,894;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2291;18,894377;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2292;18,894753;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2293;18,89513;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2294;18,895508;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2295;18,895885;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2296;18,896263;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2297;18,896639;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2298;18,897017;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2299;18,897394;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2300;18,897772;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2301;18,898148;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2302;18,898525;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2303;18,898903;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2304;18,89928;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2305;18,899656;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2306;18,900034;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2307;18,900412;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2308;18,90079;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2309;18,901167;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2310;18,901543;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2311;18,90192;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2312;18,902298;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2313;18,902676;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2314;18,903051;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2315;18,903429;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2316;18,903807;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2317;18,904184;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2318;18,904562;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2319;18,904938;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2320;18,905315;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2321;18,905693;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2322;18,90607;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2323;18,906446;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2324;18,906824;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2325;18,907202;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2326;18,90758;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2327;18,907955;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2328;18,908333;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2329;18,90871;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2330;18,909088;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2331;18,909466;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2332;18,909842;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2333;18,91022;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2334;18,910597;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2335;18,910975;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2336;18,91135;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2337;18,911728;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2338;18,912106;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2339;18,912483;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2340;18,91286;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2341;18,913237;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2342;18,913614;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2343;18,913992;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2344;18,91437;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2345;18,914745;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2346;18,915123;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2347;18,9155;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2348;18,915878;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2349;18,916256;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2350;18,916632;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2351;18,91701;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2352;18,917387;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2353;18,917765;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2354;18,91814;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2355;18,918518;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2356;18,918896;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2357;18,919273;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2358;18,91965;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2359;18,920027;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2360;18,920404;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2361;18,920782;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2362;18,92116;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2363;18,921535;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2364;18,921913;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2365;18,92229;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2366;18,922668;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2367;18,923044;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2368;18,923422;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2369;18,9238;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2370;18,924177;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2371;18,924555;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2372;18,92493;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2373;18,925308;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2374;18,925686;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2375;18,926064;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2376;18,92644;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2377;18,926817;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2378;18,927195;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2379;18,927572;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2380;18,927948;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2381;18,928326;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2382;18,928703;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2383;18,929081;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2384;18,929459;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2385;18,929834;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2386;18,930212;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2387;18,93059;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2388;18,930967;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2389;18,931343;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2390;18,93172;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2391;18,932098;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2392;18,932476;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2393;18,932854;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2394;18,93323;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2395;18,933607;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2396;18,933985;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2397;18,934362;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2398;18,934738;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2399;18,935116;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2400;18,935493;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2401;18,935871;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2402;18,936247;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2403;18,936625;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2404;18,937002;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2405;18,93738;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2406;18,937757;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2407;18,938133;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2408;18,93851;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2409;18,938889;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2410;18,939266;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2411;18,939642;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2412;18,94002;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2413;18,940397;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2414;18,940775;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2415;18,941153;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2416;18,941528;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2417;18,941906;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2418;18,942284;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2419;18,942661;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2420;18,943037;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2421;18,943415;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2422;18,943792;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2423;18,94417;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2424;18,944546;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2425;18,944923;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2426;18,945301;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2427;18,945679;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2428;18,946056;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2429;18,946432;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2430;18,94681;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2431;18,947187;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2432;18,947565;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2433;18,94794;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2434;18,948318;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2435;18,948696;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2436;18,949074;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2437;18,949451;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2438;18,949827;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2439;18,950205;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2440;18,950583;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2441;18,95096;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2442;18,951336;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2443;18,951714;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2444;18,952091;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2445;18,952469;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2446;18,952845;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2447;18,953222;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2448;18,9536;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2449;18,953978;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2450;18,954355;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2451;18,954731;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2452;18,955109;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2453;18,955486;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2454;18,955864;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2455;18,95624;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2456;18,956617;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2457;18,956995;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2458;18,957373;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2459;18,95775;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2460;18,958126;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2461;18,958504;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2462;18,958881;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2463;18,959259;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2464;18,959635;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2465;18,960012;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2466;18,96039;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2467;18,960768;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2468;18,961143;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2469;18,961521;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2470;18,961899;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2471;18,962276;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2472;18,962654;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2473;18,96303;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
2474;18,963408;sun;On;On;Receiver;Off;Off;Off;2,3388889E-4
